Time	GPS Fix	Satellites	Latitude	Longitude	Speed	Altitude
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
31701	0	0	0	0	0	0
31702	0	0	0	0	0	0
31703	0	0	0	0	0	0
31704	0	0	0	0	0	0
31705	0	0	0	0	0	0
31706	0	0	0	0	0	0
31707	0	0	0	0	0	0
31708	0	0	0	0	0	0
31709	0	0	0	0	0	0
31710	0	0	0	0	0	0
31711	0	0	0	0	0	0
31712	0	0	0	0	0	0
31713	0	0	0	0	0	0
31714	0	0	0	0	0	0
31715	0	0	0	0	0	0
31716	0	0	0	0	0	0
31717	0	0	0	0	0	0
31718	0	0	0	0	0	0
31719	0	0	0	0	0	0
31720	0	0	0	0	0	0
31721	0	0	0	0	0	0
31722	0	0	0	0	0	0
31723	0	0	0	0	0	0
31724	0	0	0	0	0	0
31725	0	0	0	0	0	0
31726	0	0	0	0	0	0
31727	0	0	0	0	0	0
31728	0	0	0	0	0	0
31729	0	0	0	0	0	0
31730	0	0	0	0	0	0
31731	0	0	0	0	0	0
31732	0	0	0	0	0	0
31733	0	0	0	0	0	0
31734	0	0	0	0	0	0
31735	0	0	0	0	0	0
31736	0	0	0	0	0	0
31737	0	0	0	0	0	0
31738	0	0	0	0	0	0
31739	0	0	0	0	0	0
31740	0	0	0	0	0	0
31741	0	0	0	0	0	0
31742	0	0	0	0	0	0
31743	0	0	0	0	0	0
31744	0	0	0	0	0	0
31745	0	0	0	0	0	0
31746	0	0	0	0	0	0
31747	0	0	0	0	0	0
31748	0	0	0	0	0	0
31749	0	0	0	0	0	0
31750	0	0	0	0	0	0
31751	0	0	0	0	0	0
31752	0	0	0	0	0	0
31753	0	0	0	0	0	0
31754	0	0	0	0	0	0
31755	0	0	0	0	0	0
31756	0	0	0	0	0	0
31757	0	0	0	0	0	0
31758	0	0	0	0	0	0
31759	0	0	0	0	0	0
31800	0	0	0	0	0	0
31801	0	0	0	0	0	0
31802	0	0	0	0	0	0
31803	0	0	0	0	0	0
31804	0	0	0	0	0	0
31805	0	0	0	0	0	0
31806	0	0	0	0	0	0
31807	0	0	0	0	0	0
31808	0	0	0	0	0	0
31809	0	0	0	0	0	0
31810	0	0	0	0	0	0
31811	0	0	0	0	0	0
31812	0	0	0	0	0	0
31813	0	0	0	0	0	0
31814	0	0	0	0	0	0
31815	0	0	0	0	0	0
31816	0	0	0	0	0	0
31817	0	0	0	0	0	0
31818	0	0	0	0	0	0
31819	0	0	0	0	0	0
31820	0	0	0	0	0	0
31821	0	0	0	0	0	0
31822	0	0	0	0	0	0
31823	0	0	0	0	0	0
31824	0	0	0	0	0	0
31825	0	0	0	0	0	0
31826	0	0	0	0	0	0
31827	0	0	0	0	0	0
31828	0	0	0	0	0	0
31829	0	0	0	0	0	0
31830	0	0	0	0	0	0
31831	0	0	0	0	0	0
31832	0	0	0	0	0	0
31833	0	0	0	0	0	0
31834	0	0	0	0	0	0
31835	0	0	0	0	0	0
31836	0	0	0	0	0	0
31837	0	0	0	0	0	0
31838	0	0	0	0	0	0
31839	0	0	0	0	0	0
31840	0	0	0	0	0	0
31841	0	0	0	0	0	0
31842	0	0	0	0	0	0
31843	0	0	0	0	0	0
31844	0	0	0	0	0	0
31845	0	0	0	0	0	0
31846	0	0	0	0	0	0
31847	0	0	0	0	0	0
31848	0	0	0	0	0	0
31849	0	0	0	0	0	0
31850	0	0	0	0	0	0
31851	0	0	0	0	0	0
31852	0	0	0	0	0	0
31853	0	0	0	0	0	0
31854	0	0	0	0	0	0
31855	0	0	0	0	0	0
31856	0	0	0	0	0	0
31857	0	0	0	0	0	0
31858	0	0	0	0	0	0
31859	0	0	0	0	0	0
31900	0	0	0	0	0	0
31901	0	0	0	0	0	0
31902	0	0	0	0	0	0
31903	0	0	0	0	0	0
31904	0	0	0	0	0	0
31905	0	0	0	0	0	0
31906	0	0	0	0	0	0
31907	0	0	0	0	0	0
31908	0	0	0	0	0	0
31909	0	0	0	0	0	0
31910	0	0	0	0	0	0
31911	0	0	0	0	0	0
31912	0	0	0	0	0	0
31913	0	0	0	0	0	0
31914	0	0	0	0	0	0
31915	0	0	0	0	0	0
31916	0	0	0	0	0	0
31917	0	0	0	0	0	0
31918	0	0	0	0	0	0
31919	0	0	0	0	0	0
31920	0	0	0	0	0	0
31921	0	0	0	0	0	0
31922	0	0	0	0	0	0
31923	0	0	0	0	0	0
31924	0	0	0	0	0	0
31925	0	0	0	0	0	0
31926	0	0	0	0	0	0
31927	0	0	0	0	0	0
31928	0	0	0	0	0	0
31929	0	0	0	0	0	0
31930	0	0	0	0	0	0
31931	0	0	0	0	0	0
31932	0	0	0	0	0	0
31933	0	0	0	0	0	0
31934	0	0	0	0	0	0
31935	0	0	0	0	0	0
31936	0	0	0	0	0	0
31937	0	0	0	0	0	0
31938	0	0	0	0	0	0
31939	0	0	0	0	0	0
31940	0	0	0	0	0	0
31941	0	0	0	0	0	0
31942	0	0	0	0	0	0
31943	0	0	0	0	0	0
31944	0	0	0	0	0	0
31945	0	0	0	0	0	0
31946	0	0	0	0	0	0
31947	0	0	0	0	0	0
31948	0	0	0	0	0	0
31949	0	0	0	0	0	0
31950	0	0	0	0	0	0
31951	0	0	0	0	0	0
31952	0	0	0	0	0	0
31953	0	0	0	0	0	0
